Omega,Amp1,Amp2
3.60000,0.01398887,0.00000002
3.59780,0.01410935,0.00000002
3.59559,0.01422365,0.00000002
3.59339,0.01406694,0.00000002
3.59118,0.01439106,0.00000002
3.58898,0.01430211,0.00000002
3.58677,0.01439287,0.00000002
3.58457,0.01467965,0.00000002
3.58236,0.01437284,0.00000002
3.58016,0.01448742,0.00000002
3.57796,0.01460089,0.00000002
3.57575,0.01460896,0.00000002
3.57355,0.01498852,0.00000002
3.57134,0.01489090,0.00000002
3.56914,0.01481502,0.00000003
3.56693,0.01510595,0.00000002
3.56473,0.01501344,0.00000003
3.56253,0.01511618,0.00000003
3.56032,0.01533393,0.00000003
3.55812,0.01516258,0.00000003
3.55591,0.01549423,0.00000003
3.55371,0.01510206,0.00000003
3.55150,0.01553486,0.00000003
3.54930,0.01560378,0.00000003
3.54709,0.01560159,0.00000003
3.54489,0.01570113,0.00000003
3.54269,0.01565384,0.00000003
3.54048,0.01578954,0.00000003
3.53828,0.01578802,0.00000003
3.53607,0.01598479,0.00000003
3.53387,0.01582486,0.00000003
3.53166,0.01609588,0.00000003
3.52946,0.01576514,0.00000003
3.52725,0.01619579,0.00000003
3.52505,0.01609818,0.00000003
3.52285,0.01645644,0.00000003
3.52064,0.01634353,0.00000003
3.51844,0.01645998,0.00000003
3.51623,0.01655137,0.00000003
3.51403,0.01632793,0.00000004
3.51182,0.01686344,0.00000004
3.50962,0.01666703,0.00000004
3.50741,0.01708701,0.00000003
3.50521,0.01659317,0.00000004
3.50301,0.01713572,0.00000003
3.50080,0.01715611,0.00000004
3.49860,0.01750376,0.00000004
3.49639,0.01742452,0.00000004
3.49419,0.01749228,0.00000004
3.49198,0.01763517,0.00000004
3.48978,0.01706569,0.00000004
3.48758,0.01767308,0.00000005
3.48537,0.01793573,0.00000004
3.48317,0.01800115,0.00000005
3.48096,0.01743104,0.00000005
3.47876,0.01805627,0.00000004
3.47655,0.01816755,0.00000005
3.47435,0.01772958,0.00000005
3.47214,0.01813367,0.00000005
3.46994,0.01857064,0.00000004
3.46774,0.01846555,0.00000005
3.46553,0.01790386,0.00000005
3.46333,0.01842048,0.00000005
3.46112,0.01878532,0.00000005
3.45892,0.01881599,0.00000006
3.45671,0.01884128,0.00000005
3.45451,0.01907321,0.00000005
3.45230,0.01920370,0.00000006
3.45010,0.01904958,0.00000006
3.44790,0.01958959,0.00000006
3.44569,0.01940064,0.00000006
3.44349,0.01919575,0.00000006
3.44128,0.01923475,0.00000006
3.43908,0.01972529,0.00000006
3.43687,0.01999914,0.00000006
3.43467,0.02016558,0.00000006
3.43246,0.02023267,0.00000007
3.43026,0.02036774,0.00000007
3.42806,0.02031279,0.00000007
