Omega   Amp1    Amp2
   2.50000   0.01926   0.00000
   2.50220   0.01834   0.00000
   2.50441   0.01834   0.00000
   2.50661   0.01843   0.00000
   2.50882   0.01849   0.00000
   2.51102   0.01845   0.00000
   2.51323   0.01867   0.00000
   2.51543   0.01845   0.00000
   2.51764   0.01884   0.00000
   2.51984   0.01883   0.00000
   2.52204   0.01899   0.00000
   2.52425   0.01907   0.00000
   2.52645   0.01915   0.00000
   2.52866   0.01923   0.00000
   2.53086   0.01931   0.00000
   2.53307   0.01938   0.00000
   2.53527   0.01948   0.00000
   2.53747   0.01957   0.00000
   2.53968   0.01964   0.00000
   2.54188   0.01971   0.00000
   2.54409   0.01983   0.00000
   2.54629   0.01991   0.00000
   2.54850   0.01999   0.00000
   2.55070   0.02008   0.00000
   2.55291   0.02018   0.00000
   2.55511   0.02027   0.00000
   2.55731   0.02036   0.00000
   2.55952   0.02047   0.00000
   2.56172   0.02054   0.00000
   2.56393   0.02066   0.00000
   2.56613   0.02074   0.00000
   2.56834   0.02085   0.00000
   2.57054   0.02092   0.00000
   2.57275   0.02105   0.00000
   2.57495   0.02114   0.00000
   2.57715   0.02126   0.00000
   2.57936   0.02135   0.00000
   2.58156   0.02144   0.00000
   2.58377   0.02157   0.00000
   2.58597   0.02168   0.00000
   2.58818   0.02178   0.00000
   2.59038   0.02188   0.00000
   2.59259   0.02198   0.00000
   2.59479   0.02210   0.00000
   2.59699   0.02221   0.00000
   2.59920   0.02232   0.00000
   2.60140   0.02244   0.00000
   2.60361   0.02256   0.00000
   2.60581   0.02267   0.00000
   2.60802   0.02279   0.00000
   2.61022   0.02292   0.00000
   2.61242   0.02305   0.00000
   2.61463   0.02318   0.00000
   2.61683   0.02330   0.00000
   2.61904   0.02341   0.00000
   2.62124   0.02355   0.00000
   2.62345   0.02369   0.00000
   2.62565   0.02382   0.00000
   2.62786   0.02393   0.00000
   2.63006   0.02403   0.00000
   2.63226   0.02422   0.00000
   2.63447   0.02436   0.00000
   2.63667   0.02449   0.00000
   2.63888   0.02462   0.00000
   2.64108   0.02478   0.00000
   2.64329   0.02492   0.00000
   2.64549   0.02505   0.00000
   2.64770   0.02522   0.00000
   2.64990   0.02537   0.00000
   2.65210   0.02551   0.00000
   2.65431   0.02566   0.00000
   2.65651   0.02581   0.00000
   2.65872   0.02595   0.00000
   2.66092   0.02613   0.00000
   2.66313   0.02630   0.00000
   2.66533   0.02643   0.00000
   2.66754   0.02659   0.00000
   2.66974   0.02678   0.00000
   2.67194   0.02698   0.00000
   2.67415   0.02714   0.00000
   2.67635   0.02727   0.00000
   2.67856   0.02745   0.00000
   2.68076   0.02767   0.00000
   2.68297   0.02781   0.00000
   2.68517   0.02798   0.00000
   2.68737   0.02823   0.00000
   2.68958   0.02801   0.00000
   2.69178   0.02859   0.00000
   2.69399   0.02862   0.00000
   2.69619   0.02876   0.00000
   2.69840   0.02919   0.00000
   2.70060   0.02923   0.00000
   2.70281   0.02960   0.00000
   2.70501   0.02981   0.00000
   2.70721   0.02999   0.00000
   2.70942   0.03024   0.00000
   2.71162   0.03048   0.00000
   2.71383   0.03065   0.00000
   2.71603   0.03094   0.00000
   2.71824   0.03111   0.00000
   2.72044   0.03141   0.00000
   2.72265   0.03163   0.00000
   2.72485   0.03187   0.00000
   2.72705   0.03211   0.00000
   2.72926   0.03238   0.00000
   2.73146   0.03264   0.00000
   2.73367   0.03288   0.00000
   2.73587   0.03310   0.00000
   2.73808   0.03342   0.00000
   2.74028   0.03366   0.00000
   2.74248   0.03396   0.00000
   2.74469   0.03424   0.00000
   2.74689   0.03454   0.00000
   2.74910   0.03479   0.00000
   2.75130   0.03506   0.00000
   2.75351   0.03540   0.00000
   2.75571   0.03573   0.00000
   2.75792   0.03605   0.00000
   2.76012   0.03636   0.00000
   2.76232   0.03666   0.00000
   2.76453   0.03697   0.00000
   2.76673   0.03734   0.00000
   2.76894   0.03771   0.00000
   2.77114   0.03806   0.00000
   2.77335   0.03841   0.00000
   2.77555   0.03876   0.00000
   2.77776   0.03905   0.00000
   2.77996   0.03955   0.00000
   2.78216   0.03987   0.00000
   2.78437   0.04030   0.00000
   2.78657   0.04067   0.00000
   2.78878   0.04111   0.00000
   2.79098   0.04143   0.00000
   2.79319   0.04193   0.00000
   2.79539   0.04240   0.00000
   2.79760   0.04271   0.00000
   2.79980   0.04326   0.00000
   2.80200   0.04376   0.00000
   2.80421   0.04423   0.00000
   2.80641   0.04469   0.00000
   2.80862   0.04524   0.00000
   2.81082   0.04573   0.00000
   2.81303   0.04625   0.00000
   2.81523   0.04673   0.00000
   2.81743   0.04729   0.00000
   2.81964   0.04795   0.00000
   2.82184   0.04844   0.00000
   2.82405   0.04909   0.00000
   2.82625   0.04973   0.00000
   2.82846   0.05033   0.00000
   2.83066   0.05085   0.00000
   2.83287   0.05152   0.00000
   2.83507   0.05227   0.00000
   2.83727   0.05296   0.00000
   2.83948   0.05368   0.00000
   2.84168   0.05436   0.00000
   2.84389   0.05506   0.00000
   2.84609   0.05592   0.00000
   2.84830   0.05674   0.00000
   2.85050   0.05755   0.00000
   2.85271   0.05839   0.00000
   2.85491   0.05907   0.00000
   2.85711   0.05999   0.00000
   2.85932   0.06098   0.00000
   2.86152   0.06205   0.00000
   2.86373   0.06301   0.00000
   2.86593   0.06396   0.00001
   2.86814   0.06493   0.00001
   2.87034   0.06588   0.00001
   2.87255   0.06708   0.00001
   2.87475   0.06837   0.00001
   2.87695   0.06944   0.00001
   2.87916   0.07058   0.00001
   2.88136   0.07180   0.00001
   2.88357   0.07310   0.00001
   2.88577   0.07478   0.00001
   2.88798   0.07630   0.00001
   2.89018   0.07779   0.00001
   2.89238   0.07924   0.00001
   2.89459   0.07940   0.00001
   2.89679   0.08198   0.00001
   2.89900   0.08445   0.00001
   2.90120   0.08602   0.00001
   2.90341   0.08673   0.00001
   2.90561   0.08943   0.00002
   2.90782   0.09180   0.00002
   2.91002   0.09397   0.00002
   2.91222   0.09668   0.00002
   2.91443   0.09851   0.00002
   2.91663   0.10162   0.00002
   2.91884   0.10377   0.00003
   2.92104   0.10607   0.00003
   2.92325   0.10931   0.00003
   2.92545   0.11262   0.00003
   2.92766   0.11611   0.00004
   2.92986   0.11960   0.00004
   2.93206   0.12314   0.00004
   2.93427   0.12619   0.00005
   2.93647   0.12987   0.00005
   2.93868   0.13429   0.00006
   2.94088   0.13965   0.00006
   2.94309   0.14479   0.00007
   2.94529   0.14983   0.00008
   2.94749   0.15460   0.00009
   2.94970   0.15969   0.00009
   2.95190   0.16524   0.00011
   2.95411   0.17228   0.00012
   2.95631   0.18042   0.00014
   2.95852   0.18848   0.00016
   2.96072   0.19629   0.00018
   2.96293   0.20418   0.00020
   2.96513   0.21234   0.00022
   2.96733   0.22093   0.00025
   2.96954   0.22985   0.00028
   2.97174   0.23983   0.00032
   2.97395   0.25098   0.00036
   2.97615   0.26326   0.00041
   2.97836   0.27655   0.00048
   2.98056   0.28912   0.00055
   2.98277   0.30358   0.00063
   2.98497   0.31754   0.00072
   2.98717   0.33087   0.00082
   2.98938   0.34516   0.00092
   2.99158   0.35884   0.00103
   2.99379   0.37336   0.00115
   2.99599   0.38775   0.00128
   2.99820   0.40215   0.00143
   3.00040   0.41651   0.00158
   3.00261   0.43079   0.00174
   3.00481   0.44534   0.00190
   3.00701   0.45972   0.00209
   3.00922   0.47277   0.00228
   3.01142   0.48769   0.00241
   3.01363   0.50212   0.00263
   3.01583   0.51402   0.00289
   3.01804   0.52814   0.00309
   3.02024   0.54337   0.00326
   3.02244   0.55675   0.00355
   3.02465   0.56984   0.00379
   3.02685   0.58310   0.00403
   3.02906   0.59605   0.00428
   3.03126   0.60895   0.00452
   3.03347   0.62181   0.00477
   3.03567   0.63400   0.00505
   3.03788   0.64667   0.00529
   3.04008   0.65850   0.00558
   3.04228   0.67087   0.00582
   3.04449   0.68260   0.00613
   3.04669   0.69427   0.00639
   3.04890   0.70605   0.00665
   3.05110   0.71785   0.00697
   3.05331   0.72897   0.00723
   3.05551   0.73909   0.00741
   3.05772   0.74954   0.00775
   3.05992   0.76200   0.00810
   3.06212   0.77313   0.00840
